ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C609,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C610,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C611,10uF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,-,-,-,-,200,V,20,%,alum electro,other,more,stuff
C612,10uF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,-,-,-,-,200,V,20,%,alum electro,other,more,stuff
C613,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,-,-,10,V,10,%,multilayer ceramic,other,more,stuff
C614,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,-,-,50,V,10,%,ceramic,other,more,stuff
C615,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,-,-,10,V,10,%,multilayer ceramic,other,more,stuff
C616,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,-,-,50,V,10,%,ceramic,other,more,stuff
C701,10uF,SM1210,Nichicon,UVZ1C100MDD,digikey,493-1279-ND,16v,20%,aluminum,other,more,stuff
C702,10uF,SM1210,Nichicon,UVZ1C100MDD,digikey,493-1279-ND,16v,20%,aluminum,other,more,stuff
C703,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C704,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C705,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C706,10uF,SM1210,Nichicon,UVZ1C100MDD,digikey,493-1279-ND,16v,20%,aluminum,other,more,stuff
C707,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C708,100uF,SM0805-C1,ill cap,107CKE035M,newark,69K7903,-,-,-,-,35,V,20,%,alum electro,other,more,stuff
